"","Link","Microorganism","Precautions","Diagnosis","Information","Epidemiology","Syndromes","Treatment","Additional Information"
"30","https://app.firstline.org/en/clients/552-ontario-veterinary-college/pathogens/20428","Enterobacter","Standard Precautions","Culture.","Gram-negative rods of the Enterobacterales order.","Opportunistic pathogen that can be found in the gastrointestinal tract of healthy animals.","Various infection types can be encountered, particularly:

 Bacterial cystitis
 Wound infections","Unlike many other Enterobacterales, Enterobacter is intrinsically resistant to ampicillin, amoxicillin, amoxicillin-clavulanate, first-generation cephalosporins, and cefoxitin because of chromosomal AmpC beta-lactamase production. Response to 3rd generation cephalosporins is typically poor.
Aminoglycosides, fluoroquinolones and anti-pseudomonal cephalosporins (e.g. ceftazidime) are usually effective. Susceptibility to trimethoprim sulfa and doxycycline is variable. Those are options if the isolate is susceptible in vitro
Beta-lactamase inhibitor combinations are not typically useful. However, amoxicillin-clavulanic acid may be effective in vivo for bacterial cystitis.
Treatment should be guided by susceptibility testing because resistance to most drug classes can be encountered",""
"31","https://app.firstline.org/en/clients/552-ontario-veterinary-college/pathogens/20506","Enterobacterales","No Precautions Listed","Bacterial culture is the mainstay of diagnosis.","Enterobacterales is a large Order of bacteria that contains a variety of clinically relevant pathogens, as well as a multitude of commensal organisms.
Clinically relevant pathogens include E. coli, Enterobacter, Klebsiella, Proteus, Salmonella and Yersinia.","The epidemiology of the different species is highly variable:

 Some are commonly found in healthy animals while others are less commonly identified
 Virtually all that are able to cause disease are opportunists that can also be found in some healthy individuals

Determination of clinical relevance involves consideration of the disease process, site from which the bacterium was isolated and the bacterial species.","A wide range of infections can develop, and this is influenced to some degree by the bacterial species.","Antimicrobial resistance is a significant concern:

 Resistance to penicillins is common
 Increasingly, resistance to other antimicrobials, including 3rd generation cephalosporins, is being identified
 There are differences in inherent resistance between species

 For example, Enterobacter is intrinsically resistant to ampicillin, amoxicillin, amoxicillin-clavulanate, first-generation cephalosporins, and cefoxitin because of AmpC-beta lactamase production",""
"32","https://app.firstline.org/en/clients/552-ontario-veterinary-college/pathogens/20430","Enterococcus","Standard Precautions","Culture","Gram-positive cocci that is a common commensal. 
Many species are present. E. faecium and E. faecalis are the main clinically relevant species.","Enterococci are widespread commensals and environmental organisms. 
Virulence is variable between species. However, even the two main pathogenic species are common commensals and of limited virulence in otherwise healthy individuals.","Various opportunistic infections.","Enterococci are intrinsically resistant to cephalosporins, fluoroquinolones, clindamycin, fusidic acid, macrolides, trimethoprim and penicillin.
Enterococcus faecalis

 Usually susceptible to ampicillin, doxycycline and chloramphenicol.
 Nitrofurantoin may be useful for bacterial cystitis.
 Typically susceptible to fosfomycin.
 Typically effective reserved drugs include carbapenems, linezolid and vancomycin
 Synergistic combination of amoxicillin/ampicillin plus an aminoglycoside may be useful for serious infection as cell wall damaging effects of the beta-lactam enhance aminoglycoside penetration and activity
 In humans, ampicillin + ceftriaxone has been used in some patients with endocarditis, when aminoglycosides are contraindicated. This might be viable in animals as well. (This does not apply to E. faecium)
 For cystitis, it may be reasonable to use amoxicillin (22+ mg/kg PO q8h) even if the isolate is reported as resistant, because of the high drug levels in urine. The potential risks of treatment failure vs the risks associated with higher tier drugs must be considered, but trying amoxicillin may be reasonable. 

Enterococcus faecium

 Often highly drug resistant
 May be susceptible to ampicillin but resistance is very common.
 Vancomycin and linezolid are reserved drugs to which enterococci are usually susceptible.
 Resistant to carbapenems and doxycycline.
 Nitrofurantoin may be useful for bacterial cystitis.
 Typically susceptible to fosfomycin.
 Synergistic combination of amoxicillin/ampicillin plus an aminoglycoside may be useful for serious infection as cell wall damaging effects of the beta-lactam enhance aminoglycoside penetration and activity.
 For cystitis, it may be reasonable to use amoxicillin (22+ mg/kg PO q8h) even if the isolate is reported as resistant, because of the high drug levels in urine. The potential risks of treatment failure vs the risks associated with higher tier drugs must be considered, but trying amoxicillin may be reasonable. 

Other enterococci

 Generally susceptible to ampicillin.",""
"33","https://app.firstline.org/en/clients/552-ontario-veterinary-college/pathogens/20432","Escherichia coli","Standard Precautions","Routine culture.","Fermenting, gram-negative rod of the Enterobacterales order.","Relatively ubiquitous bacterium that is found in the GI tract and other body surfaces, as well as the environment. 
A wide range of types are present, with a vast array of potential virulence factors. However, most strains are probably minimally virulent commensals.","Infections of virtually any body system can be encountered as E. coli is one of the most important opportunists.
Common presentations include:

 Urinary tract infections (including pyelonephritis and prostatitis)
 Pyometra
 Pneumonia
 Septic peritonitis
 Histocytic ulcerative colitis (granulomatous colitis)
 Sepsis
 Meningitis

The role in enteric disease (apart from histiocytic ulcerative colitis) in dogs and cats is unclear. It likely plays a role but this has not been discerned.","E. coli is intrinsically susceptible to most drugs that target Gram negative bacteria. 
This includes

 Penicillins
 Cephalosporins
 Carbapenems
 Fluoroquinolones
 Aminoglycosides
 Tetracyclines
 Trimethoprim-sulfonamides
 Nitrofurantoin
 Fosfomycin

However, resistance is common, particularly to beta-lactams.
Beta-lactam/beta-lactamase inhibitor combinations can be useful for beta-lactamase producing bacteria but response can be suboptimal.
Extended spectrum beta-lactamase (ESBL) producing strains are of increasing concern. These are often resistant to other drug classes, and amikacin and meropenem are often the main parenteral options. 
Culture is important because of the range of resistance patterns that can be encountered.",""
"34","https://app.firstline.org/en/clients/552-ontario-veterinary-college/pathogens/20437","Fusobacterium","Standard Precautions","Culture (anaerobic).","Anaerobic, non-sporeforming, gram-negative rods.","Opportunistic pathogens that often produce infection in association with facultative anaerobes
 Commensals on mucosal surfaces
 Common gastrointestinal tract inhabitant","Clinical infections are rarely identified
 Can often be isolated as a commensal or contaminant
 May have role in gastrointestinal disease and dysbiosis","Metronidazole is the drug of choice. Amoxicillin-clavulanate may also be an option.
Resistance to non-potentiated penicillins and cephalosporins. Clindamycin susceptibility is variable.",""
"35","https://app.firstline.org/en/clients/552-ontario-veterinary-college/pathogens/20439","Helicobacter","Standard Precautions","Detected mainly by PCR
 Hard to culture","Fastidious, non-motile, spiral or curved, gram-negative organisms.
Numerous genera exist but they are generally classified as H. pylori or non-H. pylori Helicobacter (NHPH).","Helicobacter spp can be found in the stomach of a very high percentage of healthy dogs and cats. 
An association of infection with gastritis and follicular gland hyperplasia has been suggested but the true role in disease is unclear.","Clinical relevance is not well understood. Both H. pylori and NHPH have been suggested as having a role in gastritis.","Combination therapy is typically used, as is described in the Guideline section.
Helicobacter is typically susceptible to

 Metronidazole
 Macrolides (e.g. clarithromycin)
 Amoxicillin

Doxycycline and fluoroquinolones may also be effective but these are not part of typical first line treatment regimens.",""
"36","https://app.firstline.org/en/clients/552-ontario-veterinary-college/pathogens/20442","Klebsiella","Standard Precautions","Culture","Lactose-fermenting, gram-negative bacterium of the Enterobacterales Order.","Widely distributed in the intestinal tracts of many species, as well as the environment. 
Infections are opportunistic. 
Antimicrobial resistance, particularly extended spectrum beta-lactamase (ESBL) production and AmpC cephalosporinase production, is an increasing problem. Carbapenem resistance is a major concern in human medicine but is currently less of a problem in veterinary patients.","Various opportunistic infections, including urinary tract infections and wound infections.","Typically susceptible to

 3rd generation cephalosporins (but some species, such as K. aerogenes possess inducible AmpC cephalosporinase)
 Aminoglycosides
 Fluoroquinolones
 Nitrofurantoin (cystitis only, but K. pneumoniae is not reliably susceptible)

Variable susceptibility to

 Trimethoprim-sulfa
 Tetracyclines
 Fosfomycin

Resistant to ampicillin and other penicillins. Some species are resistant to 1st and 2nd generation cephalosporins.
ESBL-producing strains are resistant to penicillins and most cephalosporins. Beta-lactam/beta-lactamase inhibitor combinations are typically ineffective clinically. Often, these strains are only susceptible to aminoglycosides and carbapenems.
Klebsiella oxytoca is typically susceptible to beta-lactam/beta-lactamase inhibitor combinations. Other species are not likely to be susceptible.",""
"37","https://app.firstline.org/en/clients/552-ontario-veterinary-college/pathogens/20446","Leptospira","Droplet / Contact Precautions","Various tests can be used, mainly serological tests (microscopic agglutination test, Witness test, SNAP test) or PCR (urine or blood).
Culture can be performed but requires specialized methods and is rarely available clinically.","Gram-negative, helical bacteria with hooked shaped ends that belong to the Leptospiraceae family.","Lives in the kidneys of definitive hosts and is excreted in urine. 
Infection is via ingestion or mucosal contact with urine-contaminated water or wet areas.","Acute kidney injury
 Acute hepatic injury
 Leptospiral pulmonary hemorrhage syndrome
 Pancreatitis
 Throbocytopenia","Doxycycline is the main treatment. Ampicillin is often used initially when oral doxycycline cannot be tolerated and intravenous doxycycline is not available.
Other drugs to which leptospires are susceptible include cephalosporins, macrolides and fluoroquinolones, but there are few indications for the use of these.","https://www.wormsandgermsblog.com/files/2008/04/M2-Lepto-Owner1.pdf"
"38","https://app.firstline.org/en/clients/552-ontario-veterinary-college/pathogens/20447","Listeria monocytogenes","Standard Precautions","Culture, PCR
 Histology can be strongly suggestive","Gram-positive coccobacillary rods.","Widely distributed in vegetation, feces of healthy animals, sewage effluent, and fresh water
 Infection caused by ingestion of contaminated food.","Rare cause of disease in dogs and cats. Septicemia and encephalitis are the main concerns. Abortion can also occur.","Empirical choices:

 Amoxicillin/ampicillin
 Tetracyclines
 Trimethoprim sulfa",""
"39","https://app.firstline.org/en/clients/552-ontario-veterinary-college/pathogens/22908","Morganella morganii","No Precautions Listed","Culture and susceptibility testing.","Gram negative bacillus. This genus currently contains a single species, M. morganii, which is divided into two subspecies M. morganii subsp. morganii and M. morganii subsp. sibonii.","Morganella is widespread in the environment and in the gastrointestinal tract. It is uncommonly involved in disease but can cause opportunistic infections. It is important to scrutinize culture results to have confidence that Morganella is a likely cause of disease vs a contaminant or commensal.","Various types of infections can be encountered, particularly wound infections and urinary tract infections.","Intrinsically resistant to:

 Penicillin
 Ampicillin
 1st and 2nd generation cephalosporins
 Fosfomycin
 Macrolides
 Nitrofurantoin
 Tetracyclines

Inducible AmpC resistance is not uncommon, leading to resistance to 3rd generation cephalosporins. Treatment with 3rd generation cephalosporins is not recommended, even with in vitro susceptibility.
May be susceptible to:

 Anti-pseudomonal cephalosporins (e.g. ceftazidime)
 Fluoroquinolones 
 Chloramphenicol

Typically susceptible to: 

 Aminoglycosides
 Piperacillin-tazobactam
 Cefepime
 Trimethoprim-sulfa
 Carbapenems",""
"40","https://app.firstline.org/en/clients/552-ontario-veterinary-college/pathogens/20712","Mycobacterium tuberculosis","Airborne (N95) / Contact Precautions","Culture (but this is of limited availability because of the need for enhanced biosafety conditions)
 PCR","Tuberculous Mycobacterium sp closely related to the human-associated M. tuberculosis. 
 Acid fast positive facultative or obligate intracellular bacterium","Most commonly found in cattle but wildlife are an important reservoir in some areas (e.g. badgers in the UK). 
 Transmission from raw meat has been identified.","Respiratory disease can develop but gastrointestinal disease is more common. 
 Disseminated disease can develop.","Combination treatment must be used for long durations, such as rifampin, a fluoroquinolone and and a macrolide (clarithromycin or azithromycin). 
Ethambutol and isoniazid may also be used. Surgical incision should be performed where possible. 
Treatment may not be an option in some jurisdictions. Euthanasia is sometimes required.",""
"41","https://app.firstline.org/en/clients/552-ontario-veterinary-college/pathogens/20452","Mycobacterium lepraemurium","Standard Precautions","Cytology and histology can be supportive of non-tuberculous Mycobacterium infection through typical granulomatous/pyogranulomatous changes and presence of acid fast bacteria. 
Culture is difficult so confirmation is typically by PCR.","Rod shaped acid fast bacillus.","Transmitted to cats through infected mice or rats.","A cause of feline leprosy.","Longterm combination therapy is required. Recommended approaches include:

 clarithromycin + pradofloxacin + clofazimine
 rifampin + pradofloxacin + clofazimine

Surgical excision is important, when possible.",""
"42","https://app.firstline.org/en/clients/552-ontario-veterinary-college/pathogens/20544","Mycoplasmopsis canis","Contact Precautions","PCR
 Culture (specialized methods are required. Will not be isolated on routine culture)","Non-hemotropic Mycoplasma spp. 
 Mycoplasma spp are highly pleomorphic, facultative anaerobic, Gram-negative bacteria that lack a cell wall.","Commonly found in respiratory tract samples from both healthy dogs and dogs with respiratory disease.","Role in disease is unclear. May be more important as a co-infecting pathogen.","Doxycycline is the drug of choice.
Fluoroquinolones are the main second line option. Chloramphenicol and macrolides may also be used.
Drugs that target the bacterial cell wall (e.g. beta-lactams) are ineffective.",""
"43","https://app.firstline.org/en/clients/552-ontario-veterinary-college/pathogens/20545","Mycoplasmopsis cynos","Contact Precautions","PCR
 Culture (specialized methods are required. Will not be isolated on routine culture)","Non-hemotropic Mycoplasma spp.
 Mycoplasma spp are highly pleomorphic, facultative anaerobic, Gram-negative bacteria that lack a cell wall.","Commonly found in respiratory tract samples from both healthy dogs and dogs with respiratory disease but its presence has been associated with respiratory disease. Whether it is a primary pathogen or predominantly a co-infection is unclear.","Upper and lower respiratory tract disease.","Doxycycline is the drug of choice.
Fluoroquinolones and macrolides are the main second line options. Chloramphenicol may also be used.
Drugs that target the bacterial cell wall (e.g. beta-lactams) are ineffective).",""
"44","https://app.firstline.org/en/clients/552-ontario-veterinary-college/pathogens/20459","Mycoplasmopsis felis","Standard Precautions","PCR
 Culture can be performed but requires specialized methods. Mycoplasma will not be isolated using routine culture methods","Non-hemotropic Mycoplasma spp.  
 Mycoplasma spp are highly pleomorphic, facultative anaerobic, Gram-negative bacteria that lack a cell wall.","Commonly found in respiratory tract samples from both healthy cats and cats with respiratory disease.","Can be associated with upper or lower respiratory tract disease. 
Diagnosis can be challenging because of its common presence in healthy individuals.","Doxycycline is the drug of choice.
Fluoroquinolones and macrolides are the main second line option. 
Drugs that target the bacterial cell wall (e.g. beta-lactams) are ineffective, as are potentiated sulfonamides (TMS).",""
"45","https://app.firstline.org/en/clients/552-ontario-veterinary-college/pathogens/20454","Mycoplasma haemocanis","Standard Precautions","PCR testing
 Cytological evaluation of blood smears","Hemotropic Mycoplasma spp that causes hemotropic mycoplasmosis in dogs. Previously referred to as Haemobartonella canis
 Cell wall deficient deficient bacterium
 Unculturable","Thought to be transmitted predominantly by ticks, particularly Rhipicephalus sanguineus (brown dog tick). Can also be transmitted via blood transfusion and potentially other forms of blood exposure.
Prevalence in healthy dogs is variable but M. haemocanis can be found in 1-10% of healthy dogs in some populations.","Infections are often subclinical.
 Acute disease is characterized by hemolytic anemia. 
 Chronic disease is subtle and lethargy may be the main sign.","Doxycycline is the main treatment. 
 Fluoroquinolones are other options.",""
"46","https://app.firstline.org/en/clients/552-ontario-veterinary-college/pathogens/20455","Mycoplasma haemofelis","Standard Precautions","PCR analysis is currently the preferred method for diagnosis of infection with haemotropic mycoplasmas
May be demonstrated on the surface of erythrocytes in Giemsa stained blood smears","Hemotropic Mycoplasma spp that causes hemotropic mycoplasmosis in cats. Previously referred to as Haemobartonella felis
 Cell wall deficient deficient bacterium
 Unculturable","Thought to be transmitted predominantly by ticks, particularly Rhipicephalus sanguineus (brown dog tick). Can also be transmitted via blood transfusion and potentially other forms of blood exposure.
Prevalence in healthy cats is variable but M. haemofelis can be found in up to 15% of healthy cats in some populations.","Infections are often subclinical
 Acute disease is characterized by hemolytic anemia
 Chronic disease is subtle and lethargy may be the main sign","Doxycycline is the main treatment
 Fluoroquinolones are other options
 Treatment can reduce or eliminate overt parasitemia but does not necessarily completely eliminate the bacterium",""
"47","https://app.firstline.org/en/clients/552-ontario-veterinary-college/pathogens/20413","(unknown name)","Standard Precautions","PCR testing
 Cytological evaluation of blood smears","Hemotropic Mycoplasma spp that, along with Mycoplasma haemocanis, causes hemotropic mycoplasmosis in dogs. Previously referred to, with M. haemocanis, as Haemobartonella canis
 Cell wall deficient deficient bacterium.
 Unculturable","Thought to be transmitted predominantly by ticks, particularly Rhipicephalus sanguineus (brown dog tick). Can also be transmitted via blood transfusion and potentially other forms of blood exposure.","Infections are often subclinical
 Acute disease is characterized by hemolytic anemia
 Chronic disease is subtle and lethargy may be the main sign","Doxycycline is the main treatment
 Fluoroquinolones are other options",""
"48","https://app.firstline.org/en/clients/552-ontario-veterinary-college/pathogens/22904","Neisseria","No Precautions Listed","Diagnosis is based on culture. 
Susceptibility testing is often unavailable because of the fastidious nature of the organism. 
Because it is a mucosal commensal, care must be taken to avoid contamination during sampling and the potential for contamination must be considered when interpreting culture results.","Neisseria is a genus of Gram negative cocci that are fastidious anaerobic bacteria, widely found colonizing mucous membranes (especially the mouth) of animals. Clinical disease is rare and is most often associated with bites or self-trauma (e.g. licking at surgical sites). 
Common species are N. animalis, N. animaloris, N. weaveri, N. canis and N. zoodegmatis.
When evaluating available susceptibility results, care must be taken not to extrapolate from human Neisseria gonorrhoeae as resistance is a serious problem in that species but it is not relevant in animals.","Neisseria is present in the mouths of most animals and disease is uncommon. As an opportunist, infections most often occur after inoculation of the bacterium into wounds. Oral infections and respiratory tract infections may also occur.","Most common

 Skin and soft tissue infections, particularly wound infections.

Less common

 Lower respiratory tract infections
 Oral infections
 Bacteremia","Typically susceptible to

 Amoxicillin-clavulanate
 3rd generation cephalosporins
 Tetracyclines
 Trimethoprim-sulfa
 Fluoroquinolones

Variable susceptibility to

 1st and 2nd generation cephalosporins

Clindamycin is ineffective against Neisseria",""
"49","https://app.firstline.org/en/clients/552-ontario-veterinary-college/pathogens/20466","Nocardia","Standard Precautions","Diagnosis is typically based on culture.
 Cytology can suggest the presence of Nocardia, based on visualization of long, slender Gram positive, weakly acid fast filamentous bacteria. However, this is not definitive for Nocardia.","Nocardia is a genus of environmental bacteria.","It is more commonly found in arid regions, such as parts of Australia and southwestern United States. It is found in soil and decaying vegetation.
Opportunistic infections occur after exposure via inhalation or wounds. Infections are more common in immunocompromised individuals.","Various skin and soft tissue forms of infection can be encountered, including superficial soft tissue infection, lymphocutaneous infection and mycetomas. Pulmonary and disseminated disease can also occur.","Trimethoprim-sulfa is the most common treatment option.
 3rd generation cephalosporins, amoxicillin, doxycycline and amikacin may be other options. 
 Abscesses should be drained and affected tissues resected whenever possible. Months of treatment are typically required.",""
"50","https://app.firstline.org/en/clients/552-ontario-veterinary-college/pathogens/20468","(unknown name)","Standard Precautions","Culture and susceptibility testing is ideal but susceptibility testing may be limited to specific laboratories.
PCR is available to detect (but not necessarily speciate) NTM.
Acid fast stains are useful to support the presence of mycobacteria and determine the relevance of culture/PCR results.","NTM is a broad group of Mycobacterium species that are predominantly environmental organisms. They can be subdivided multiple ways.
M avium-intracellulare complex (MAC): Most likely to cause disseminated infection
Rapidly growing Mycobacterium spp: M. abscessus, M. chelonae, and M. fortuitum are the most clinically relevant species in humans and probably in many animal species.","","","Resistance is common and susceptibility testing is ideal. 
Combination therapy is required as use of a single drug poses a significant risk of emergence of resistance and treatment failure. Three drug combinations are preferred.
In lieu of (or while awaiting) susceptibility testing, some general patterns can be considered.
MAC

 MAC tend to be susceptible to a range of antimicrobials
 clarithromycin/azithromycin, ethambutol and rifampin is a typical combination in humans
 in dogs and cats, clarithromycin/azithromycin plus doxycycline and a fluoroquinolone is often used
 rifampin should be added for CNS infections
 amikacin susceptibility is common but parenteral administration is less practical

Rapidly growing mycobacteria
M. abscessus

 almost always susceptible to clarithromycin
 usually susceptible to clofazimine, amikacin, cefoxitin
 sometimes susceptible to imipenem and fluoroquinolones
 uncommonly susceptible to linezolid
 resistant to rifampin, ethambutol and isoniazid
 doxycycline susceptibility is variable. Doxycycline is a good option when the isolate is susceptible

M. fortuitum 

 almost always susceptible to amikacin, fluoroquinolones, sulfonamides and imipenem
 usually susceptible to cefoxitin and linezolid
 sometimes (~50%) susceptible to doxycycline and clarithromycin

M. chelonae 

 almost always susceptible to clarithromycin
 usually susceptible to amikacin
 susceptible to some fluoroquinolones (probably more likely susceptible to pradofloxacin vs earlier generation fluoroquinolones
 uncommonly susceptible to doxycycline and clofazimine

M. smegmatis

 almost always susceptible to doxycycline, carbapenems, amikacin and trimethoprim-sulfa
 susceptible to some fluoroquinolones (probably more likely susceptible to pradofloxacin vs earlier generation fluoroquinolones
 typically susceptible to clofazimine and ethambutol
 sometimes resistant to clarithromycin
 resistant to rifampin and isoniazid",""
"51","https://app.firstline.org/en/clients/552-ontario-veterinary-college/pathogens/20992","Paraclostridium bifermentans muricolitidis","No Precautions Listed","Fecal sedimentation testing is the main approach. Eggs are dense and do not reliably float using standard fecal flotation methods.","Trematode. This lung fluke lives in the lung and pleura of definitive hosts. It can cause serious disease in some situations.","This parasite is maintained in wildlife, with mink being one of the main reservoirs. 
Infected animals shed P. kellicotti eggs in feces. When an egg enters a water source, it hatches and a miracidium emerges. This then infects a snail, the first intermediate host. It develops to the cercarial stage within the snail and then leaves the snail. If it infects its second intermediate host, a crayfish, it develops into the metacercial form, which can infect var miousammals, including dogs. 
When a dog ingests an infected crayfish, metacercaria excyst in the dog’s stomach or duodenum and migrate into the abdominal cavity, eventually passing through the diaphragm and into the lungs.
The parasite matures to its adult stage in cystic structures within the lung, eventually producing eggs that enter the bronchi, are coughed up and swallowed and ultimately passed in feces. 
The time from ingestion of an infected crayfish to shedding of eggs (the prepatent period) is 5-7 weeks.","Chronic cough.
Spontaneous pneumothorax.
Infections may often be subclinical.","Praziquantel, +/- fenbendazole. See Paragonimiasis guideline for details. 
In high risk situations, treatment may be indicated as frequently as every 21-28 days.",""
"52","https://app.firstline.org/en/clients/552-ontario-veterinary-college/pathogens/20469","Pasteurella","Standard Precautions","Culture is the main diagnostic test.","Gram-negative rods or coccobacilli.","Common commensal of the upper respiratory tract and mouth of most animal species. 
Pasteurella multocida is the most common pathogenic species but other species can also cause disease (e.g. P. dagmatis)","Opportunistic infections of various body systems can be encountered, particularly soft tissue infections (e.g. bite wounds) and pneumonia. However, infection of most other body sites can occur, including osteomyelitis, bacteremia, endocarditis, meningitis, peritonitis, urinary tract infections and other pyogenic infections.","Typically susceptible to

 Amoxicillin-clavulanate
 2nd/3rd generation cephalosporins
 Fluoroquinolones
 Tetracyclines
 Trimethoprim-sulfa

Usually susceptible to amoxicillin but beta-lactamase-based resistance can be encountered.
Variable susceptibility to macrolides.
Resistant to 

 1st generation cephalosporins
 Clindamycin

Aminoglycoside resistance is common",""
"53","https://app.firstline.org/en/clients/552-ontario-veterinary-college/pathogens/23912","Peptostreptococcus","No Precautions Listed","","Gram positive coccus that is part of the commensal oropharyngeal and skin microbiota. 
Disease is rare but a variety of opportunistic infections can develop, including abscesses, pleuropneumonia, pyothorax, bactermia osteomyelitis and device-associated infections. 
As a skin and mucous membrane colonizer, it is important to consider whether isolation of Peptostreptococcus is likely of clinical relevance, based on the location, sample type, presence or absence of other microorganisms and disease.","","","Apart from P. anaerobius, Peptostreptococci are typically susceptible to penicillins (e.g. penicillin, amoxicillin). However, resistance has been documented occasionally in other species such as P. micra and P. asaccharolyticus. 
Typically susceptible to metronidazole.
Potentially susceptible to clindamycin, but resistance is not uncommon.
Often resistant to cephalosporins, macrolides and tetracyclines.",""
"54","https://app.firstline.org/en/clients/552-ontario-veterinary-college/pathogens/20475","Prevotella","Standard Precautions","Culture (anaerobic)
 Care must be taken to differentiate clinically-relevant isolation of Prevotella from contamination/colonization","Anaerobic, non-spore-forming Gram negative bacterium
 At least 50 different species are recognized","Common inhabitant of the respiratory and gastrointestinal tracts of various animal species. 
 Opportunistic infections can occur but are rare.","Wound infections (especially bite infections), oral infections and, less commonly, other types of opportunistic infections, can be encountered.","Typically susceptible to:

 Metronidazole (drug of choice)
 Amoxicillin-clavulanate and other beta-lactam/beta-lactamase inhibitor combinations
 Clindamycin (but some resistance is present)
 Chloramphenicol
 Carbapenems

Often resistant to

 Penicillins
 Cephalosporins
 Tetracyclines

Apart from penocillins, the above drugs may be useful if susceptibility is demonstrated in vitro",""
"55","https://app.firstline.org/en/clients/552-ontario-veterinary-college/pathogens/20476","Proteus mirabilis","Standard Precautions","Culture. Proteus is readily isolated using standard culture techniques.","Non-fermenting, gram-negative rods of the Enterobacterales Order.","Opportunistic pathogen that is found widely in the environment and as part of the microbiota of healthy animals (particularly the gastrointestinal microbiota)","Bacterial cystitis is the most common clinical manifestation, followed by soft tissue infections.
Urease production can be associated with production of struvite crystals and uroliths (from high urine pH), potentially complicating treatment of cystitis.","Typically susceptible to

 Fluoroquinolones
 Aminoglycosides
 Trimethoprim-sulfa
 Carbapenems (apart from imipenem)

Beta-lactams

 While P. mirabilis is typically susceptible to penicillins, potentiated penicillins and cephalosporins in vitro, in humans, it is reported that response of P. mirabilis urinary tract infections to beta-lactams can be worse than to other drugs.
 The prevalence of extended spectrum beta-lactamase (ESBL) production is increasing, further limiting use of beta-lactams.

Resistant to

 Tetracyclines
 Nitrofurantoin

Susceptibility to fosfomycin is variable.",""
"56","https://app.firstline.org/en/clients/552-ontario-veterinary-college/pathogens/20478","Pseudomonas fluorescens complex","Standard Precautions","Culture. Proteus is readily isolated using standard culture techniques.","Non-fermenting, gram-negative rods of the Enterobacterales Order.","Opportunistic pathogen that is found widely in the environment and as part of the microbiota of healthy animals (particularly the gastrointestinal microbiota).
Proteus vulgaris is the main pathogen in this group, which also includes P. penneri and P. hauseri.","Bacterial cystitis is the most common clinical manifestation, followed by soft tissue infections. May be more likely to cause systemic manifestations and disseminated infections compared to other Proteus. 
Urease production can be associated with production of struvite crystals and uroliths (from high urine pH), potentially complicating treatment of cystitis.","Typically susceptible to

 Fluoroquinolones
 Aminoglycosides
 Trimethoprim-sulfa
 Carbapenems (apart from imipenem)

Resistant to

 Penicillin (including potentiated penicillins)
 1st and 2nd generation cephalosporins
 Tetracyclines
 Nitrofurantoin

Resistance to 3rd generation cephalosporins is common through inducible cephalosporinase-based resistance, as well as acquisition of ESBL genes. 
Susceptibility to fosfomycin is variable.",""
"57","https://app.firstline.org/en/clients/552-ontario-veterinary-college/pathogens/22374","Providencia","Routine Practices","Culture","Gram negative bacterium from the Enterobacterales order. Species consist of P. alcalifaciens, P. burhodogranaeriae, P. heimbachae, P. rettgeri, P. rustigianii, P. sneebia, P. stuartii and P. vermicola.
P. rettgeri, P. stuartii and P. alcalifaciens are likely the most relevant clinically. This may be because of the presence of specific virulence factors, such as the ability to attach to urinary epithelial cells.","Providencia can be found in the environment, including water and soil.","Infections are rare and most commonly occur in compromised hosts. Urinary tract infections are most common, but other infections such as wound infections can occur. Invasive infections (e.g. pneumonia, bloodstream infection) likely result most from extension of infection from wounds or urinary tract infections. Infections can be difficult to eliminate, particularly infections involving invasive devices (e.g. urinary catheters, surgical implants).
Gastrointestinal disease has also be reported in humans from P. alcalifaciens.","Multidrug resistance is common. Inducible AmpC cephalosporinase confers resistant to penicillins and most cephalosporins, and is not susceptible to beta-lactamanse inhibitors. 
Typically susceptible to

 Meropenem

Maybe susceptible to

 Trimethoprim-sulfa
 Imipenem
 Fluoroquinolones
 Cefepime
 Aminoglycosides
 Piperacillin/tazobactam
 Chloramphenicol

Typically/always resistant to

 Penicillins (including beta-lactamase inhibitor combinations)
 1st, 2nd and 3rd generation cephalosporins
 Nitrofurantoin
 Tetracyclines",""
"58","https://app.firstline.org/en/clients/552-ontario-veterinary-college/pathogens/20481","Pseudomonas","Standard Precautions","Culture.","Gram-negative aerobic rods
 Most often involved in complex patients with previous antimicrobial use
 Common cause of otitis externa
 Intrinsic antimicrobial resistance","Most strains are resistant to common antibiotics
 Live in soil and water
 Can also be found in feces of healthy animals, but is not a member of the normal flora

P. aeruginosa is the most relevant pathogen in veterinary medicine.","Skin and ear infections are most common in dogs and cats. Wound and other soft tissue infections, lower urinary tract infections and ocular infections can occur.
In general, Pseudomonas infections occur predominantly in animals that have had recurrent prior antimicrobial treatments.","Potential options include:
Pseudomonas aeruginosa

 Ceftazidime
 Amikacin
 Gentamicin
 Piperacillin-tazobactam
 Meropenem
 Fluoroquinolones (Variable. Ideally used in combination with another effective drug)
 Fosfomycin","Resource: McVey, D. S., et al. Veterinary Microbiology. Wiley-Blackwell, 2013."
